Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Marker
KKIIADKH_01032_gene,64.14299911,-0.822749737,0.288752681,-2.849323279,0.004381234,0.008048553,0
KKIIADKH_01033_gene,205.3363419,-0.872900267,0.192334974,-4.53843755,5.67E-06,1.54E-05,0
KKIIADKH_01034_gene,91.59376953,-1.350314442,0.22684261,-5.952649018,2.64E-09,9.99E-09,0
KKIIADKH_01035_gene,545.2867036,0.054488714,0.133848842,0.407091412,0.68394085,0.74064061,0
KKIIADKH_01036_gene,132.8474887,-0.613624843,0.189638436,-3.235761998,0.001213185,0.002432188,0
KKIIADKH_01037_gene,585.1161586,0.134291989,0.145455691,0.923250152,0.355876859,0.426323721,0
KKIIADKH_01038_gene,290.0536236,-0.442467807,0.177179698,-2.497282771,0.012514912,0.021426935,0
KKIIADKH_01039_gene,1472.540231,0.338697045,0.120580257,2.808893054,0.004971216,0.009029036,0
KKIIADKH_01040_gene,1019.818825,-0.797823045,0.115270533,-6.92130957,4.47E-12,2.12E-11,0
KKIIADKH_01041_gene,176.5055372,-1.059929506,0.221378178,-4.787868044,1.69E-06,4.85E-06,0
KKIIADKH_00104_gene,1225.504659,-0.784417795,0.099129582,-7.913054606,2.51E-15,1.53E-14,0
KKIIADKH_01042_gene,85.34768185,0.46842042,0.249955344,1.874016424,0.060928161,0.089879405,0
KKIIADKH_01043_gene,787.8870086,0.795292043,0.111710891,7.11919884,1.09E-12,5.42E-12,0
