Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Marker
EEDFELNL_01413_gene,358.2604615,0.048080528,0.231206091,0.207955283,0.835263883,0.930977691,0
EEDFELNL_01414_gene,126.3149557,-0.053897548,0.513292065,-0.105003665,0.916372901,0.970551736,0
EEDFELNL_01415_gene,8.776519916,0.603951731,0.779151842,0.775139964,0.438256959,NA,0
EEDFELNL_01416_gene,10.78988214,0.771131739,0.73053322,1.055573817,0.291162968,NA,0
EEDFELNL_01417_gene,25.34750515,1.324106761,0.54753761,2.418293716,0.015593484,NA,0
EEDFELNL_01418_gene,89.85737592,0.697811913,0.378107073,1.845540489,0.064958954,0.265858674,0
EEDFELNL_01419_gene,254.9286013,-0.519873576,0.441569063,-1.177332424,0.23906285,0.510452225,0
EEDFELNL_00019_gene,44.49003693,-0.698490324,0.395238878,-1.767261174,0.077184499,0.288412744,0
EEDFELNL_00147_gene,68.98943369,-0.371048534,0.615900143,-0.602449177,0.546875184,0.768889379,0
EEDFELNL_01420_gene,254.2647204,-0.172845348,0.40705969,-0.424619171,0.671114315,0.850799149,0
EEDFELNL_01421_gene,185.5886529,-0.23953704,0.364544033,-0.657086712,0.511125162,0.741465841,0
EEDFELNL_01422_gene,1293.431091,0.050581661,0.190306156,0.265790987,0.790400185,0.911341916,0
EEDFELNL_01423_gene,95.09771423,-0.046198468,0.281450263,-0.164144342,0.869617515,0.946619495,0
EEDFELNL_01424_gene,82.87285341,-0.908429142,0.430835792,-2.108527564,0.034985381,0.18992064,0
EEDFELNL_01425_gene,145.1134663,0.160093126,0.342361342,0.467614495,0.640060298,0.829882553,0
EEDFELNL_01426_gene,127.3096209,-0.101467252,0.31170683,-0.325521427,0.744786469,0.88560661,0
EEDFELNL_01427_gene,152.0152773,-0.308122615,0.293490389,-1.049855893,0.293784373,0.568304197,0
EEDFELNL_01428_gene,207.4572092,0.132992365,0.352550929,0.377228804,0.706003576,0.868987108,0
EEDFELNL_01429_gene,2.515048151,0.776360305,1.393107143,0.55728686,0.577331452,NA,0
EEDFELNL_00148_gene,110.3005205,-0.816187149,0.715991098,-1.139940358,0.25431115,0.526371794,0
EEDFELNL_01430_gene,7.488303996,-0.582316674,0.82847862,-0.702874715,0.48213383,NA,0
EEDFELNL_01431_gene,19.85810855,0.478195765,0.620962037,0.770088567,0.441247357,NA,0
EEDFELNL_01432_gene,56.59350764,0.146802909,0.352703854,0.416221449,0.677247966,0.853028056,0
EEDFELNL_01433_gene,306.5264554,-0.246380096,0.224442939,-1.097740462,0.272317836,0.546541773,0
EEDFELNL_01434_gene,122.7238215,0.252081359,0.384308871,0.655934271,0.511866417,0.741465841,0
EEDFELNL_01435_gene,2781.19675,0.220391848,0.232870842,0.946412382,0.343938292,0.606695241,0
EEDFELNL_01436_gene,443.3209086,-1.635026332,0.684567298,-2.388408468,0.016921523,0.123778317,0
EEDFELNL_01437_gene,504.9696104,-1.423013489,0.656833271,-2.166475956,0.030274835,0.174923463,0
EEDFELNL_01438_gene,735.5530326,-1.292347254,0.634893162,-2.035535004,0.04179707,0.208473929,0
EEDFELNL_01439_gene,2.296394375,-0.721332304,1.255436564,-0.574566908,0.565584238,NA,0
EEDFELNL_00149_gene,977.1155583,-0.992162601,0.685184891,-1.448021715,0.147610978,0.399832768,0
EEDFELNL_01440_gene,1429.302912,-0.201333454,0.221695756,-0.908152044,0.363797897,0.623574071,0
EEDFELNL_01441_gene,1161.703985,0.909422165,0.426693005,2.131326632,0.033062242,0.183494444,0
EEDFELNL_01442_gene,453.7845209,2.018965805,0.267750484,7.540474912,4.68E-14,5.53E-12,0
EEDFELNL_01443_gene,365.4313162,2.019152033,0.25072727,8.053180777,8.07E-16,1.13E-13,0
EEDFELNL_01444_gene,206.1048141,2.353474823,0.268879791,8.752888457,2.08E-18,3.33E-16,0
EEDFELNL_01445_gene,1149.986415,2.236251015,0.25085599,8.914481229,4.90E-19,8.45E-17,0
EEDFELNL_01446_gene,320.2466133,4.074655263,0.521069434,7.819793281,5.29E-15,6.98E-13,0
IadI,658.4818617,3.752405097,0.410948548,9.131082497,6.78E-20,1.38E-17,1
IadH,832.6718613,3.415338255,0.59088176,5.780070543,7.47E-09,6.70E-07,1
IadG,670.7090384,3.809987269,0.489551334,7.782610326,7.10E-15,9.10E-13,1
EEDFELNL_00150_gene,468.4658853,0.082451303,0.456963394,0.180433059,0.856812603,0.940245494,0
