Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Marker
HAAAELCE_01391_gene,109.1088013,0.191371539,0.302152512,0.633360743,0.526498095,0.706541486,0
HAAAELCE_01392_gene,12.07699328,-0.056604792,0.708808374,-0.07985909,0.936349327,0.966825344,0
HAAAELCE_01393_gene,8.358689519,-1.005358036,0.714298388,-1.407476277,0.159286207,0.327105604,0
HAAAELCE_01394_gene,8.108880455,0.282723954,0.682149394,0.414460464,0.678536915,0.818335978,0
HAAAELCE_01395_gene,0.162380435,0.697983848,4.080472857,0.171054648,0.864180796,NA,0
HAAAELCE_01396_gene,4.958135558,-0.497649566,0.921062793,-0.540299282,0.588990654,0.752947755,0
HAAAELCE_01397_gene,0.418887725,-2.296014014,3.856201473,-0.595408209,0.551570639,NA,0
HAAAELCE_01398_gene,163.614071,-0.843657677,0.474202446,-1.779108656,0.07522195,0.19411135,0
HAAAELCE_01399_gene,98.05026648,-0.873308612,0.505050385,-1.729151463,0.083781991,0.210256017,0
HAAAELCE_01400_gene,257.4891472,-0.897006906,0.517407488,-1.733656598,0.082979032,0.208961795,0
HAAAELCE_00138_gene,82.68075178,0.162785984,0.290685818,0.560006624,0.57547492,0.743417167,0
HAAAELCE_01401_gene,495.5523779,-0.742570258,0.437783154,-1.696205647,0.089846941,0.220620603,0
HAAAELCE_01402_gene,1118.547284,-1.024683807,0.174829289,-5.861053453,4.60E-09,1.08E-07,0
HAAAELCE_01403_gene,305.1721839,-1.688758068,0.351887872,-4.799136895,1.59E-06,2.34E-05,0
HAAAELCE_01404_gene,0,NA,NA,NA,NA,NA,0
HAAAELCE_01405_gene,306.9218126,-0.468247183,0.229213885,-2.042839519,0.041068327,0.124695911,0
HAAAELCE_01406_gene,396.8262934,-0.375239841,0.215635694,-1.740156433,0.081831553,0.206921747,0
HAAAELCE_01407_gene,68.61726759,0.070276613,0.289266677,0.242947491,0.808046075,0.896671606,0
HAAAELCE_01408_gene,601.0953904,0.959452789,0.273020304,3.514217718,0.000441051,0.003203424,0
HAAAELCE_01409_gene,185.7827924,-0.275475949,0.235818774,-1.168168014,0.242739,0.438455262,0
HAAAELCE_01410_gene,889.6865155,0.622769134,0.218579555,2.849164619,0.004383419,0.021720354,0
HAAAELCE_00139_gene,541.291942,0.354327556,0.313489759,1.130268359,0.258363163,0.45660767,0
HAAAELCE_01411_gene,28.73475493,-1.148492791,0.46212403,-2.485247937,0.012946123,0.051560318,0
HAAAELCE_01412_gene,550.2910373,-0.400381518,0.354231715,-1.130281397,0.258357671,0.45660767,0
HAAAELCE_01413_gene,236.6832156,0.250198077,0.383298156,0.652750537,0.513917117,0.697007981,0
HAAAELCE_01414_gene,924.5867916,-0.211271587,0.349362508,-0.604734573,0.545355372,0.720795988,0
HAAAELCE_01415_gene,0.507917816,-1.173794813,2.772697973,-0.423340308,0.67204699,NA,0
HAAAELCE_01416_gene,116.0754159,-0.84661453,0.274488096,-3.08433969,0.002040045,0.011721443,0
HAAAELCE_01417_gene,309.1605366,-0.665740767,0.270114428,-2.464662002,0.013714255,0.054152586,0
HAAAELCE_01418_gene,386.5959273,-0.320617417,0.242426891,-1.322532392,0.18599093,0.365713649,0
HAAAELCE_01419_gene,3025.913576,0.78113449,0.257577991,3.032613486,0.002424459,0.013421507,0
HAAAELCE_01420_gene,486.8409636,-0.620093939,0.208468299,-2.974523906,0.002934436,0.015650325,0
HAAAELCE_00140_gene,329.1204227,-0.181269334,0.245098626,-0.739577112,0.459556634,0.650616214,0
HAAAELCE_01421_gene,2371.409882,0.038832396,0.178949451,0.217002038,0.828206757,0.908886938,0
HAAAELCE_01422_gene,25.4985274,-0.046305099,0.531333186,-0.087148893,0.930553162,0.963724851,0
HAAAELCE_01423_gene,7.237141248,0.003251719,0.745245457,0.004363286,0.996518612,0.997241251,0
HAAAELCE_01424_gene,225.5450655,-0.540750781,0.279633995,-1.93378055,0.053140115,0.150736606,0
HAAAELCE_01425_gene,145.8049894,-0.153207567,0.288017719,-0.531937991,0.594768944,0.75732022,0
HAAAELCE_01426_gene,1727.381479,-0.161413952,0.227832952,-0.708475006,0.478650328,0.667759529,0
HAAAELCE_01427_gene,54.0040687,2.791869538,0.393268454,7.099144385,1.26E-12,4.91E-11,0
HAAAELCE_01428_gene,113.0528998,1.278384939,0.262707134,4.866198029,1.14E-06,1.72E-05,0
HAAAELCE_01429_gene,281.1350174,0.693936312,0.215318364,3.222838489,0.001269271,0.007894387,0
HAAAELCE_01430_gene,180.0414662,0.815609961,0.236115071,3.454290131,0.000551743,0.00389466,0
HAAAELCE_00141_gene,0,NA,NA,NA,NA,NA,0
HAAAELCE_01431_gene,58.47874597,0.392789728,0.40658509,0.966070172,0.334009069,0.537844241,0
HAAAELCE_01432_gene,663.5676992,-0.631211928,0.204555427,-3.085774544,0.002030227,0.011698176,0
HAAAELCE_01433_gene,452.7387456,-1.506158476,0.334905343,-4.497266195,6.88E-06,8.54E-05,0
HAAAELCE_01434_gene,306.4865753,-1.560063125,0.260935407,-5.978732981,2.25E-09,5.59E-08,0
HAAAELCE_01435_gene,230.8931011,-3.384240076,0.349310499,-9.688343413,3.38E-22,2.70E-20,0
HAAAELCE_01436_gene,257.6609759,0.365244265,0.211434112,1.727461386,0.084084834,0.21068919,0
HAAAELCE_01437_gene,294.1618459,0.726231056,0.237736462,3.054773546,0.002252305,0.012728932,0
HAAAELCE_01438_gene,132.1165416,0.321861691,0.257519235,1.249854952,0.211352538,0.400503265,0
HAAAELCE_01439_gene,71.50111168,0.465063463,0.282115836,1.648484078,0.099253375,0.237074267,0
HAAAELCE_01440_gene,173.0952315,0.445863843,0.246764662,1.806838301,0.070787495,0.186247365,0
HAAAELCE_00014_gene,450.0020267,-0.781960801,0.314606897,-2.485517028,0.01293634,0.051558553,0
HAAAELCE_00142_gene,85.87930629,-0.180432521,0.298339757,-0.604788725,0.545319386,0.720795988,0
HAAAELCE_01441_gene,735.52809,1.247387903,0.177119744,7.042624801,1.89E-12,7.18E-11,0
